,Price,Year,Mileage,City,State,Vin,Make,Model,City Rank,State Rank,Vin Rank,Make Rank,Model Rank,Predicted Price
0,29495,2013,73121,Oklahoma City, OK,1GNSKBE01DR127341,Chevrolet,TahoeLT,0,0,0,0,0,16038.815923321876
1,35969,2016,31800,Conyers, GA,1C4BJWDGXGL119960,Jeep,Wrangler,1,1,1,1,1,19133.92609807347
2,21477,2016,40655,Elk Grove Village, IL,2G1145S39G9149688,Chevrolet,ImpalaLTZ,2,2,2,0,2,18482.704992951185
3,13889,2015,41646,Marysville, WA,1G1PE5SB5F7250712,Chevrolet,Cruze2LT,3,3,3,0,3,18403.013080968376
4,14225,2016,33535,Toledo, OH,1N4AL3AP2GC197633,Nissan,Altima2.5,4,4,4,2,4,19018.520315837493
5,40000,2017,2169,Murray, UT,3GCUKREC6HG127376,Chevrolet,Silverado,5,5,5,0,5,21355.230274261776
6,30900,2015,33920,Houston, TX,5TDKKRFHXFS088291,Toyota,HighlanderFWD,6,6,6,3,6,18988.068173060125
7,5995,2003,158987,Clayton, NC,JTEGF21A730078436,Toyota,Highlander4dr,7,7,7,3,7,9606.511039611205
8,33999,2013,52011,Puyallup, WA,1FTFW1ET2DFB32892,Ford,F-150SuperCrew,8,3,8,4,8,17635.845849710127
9,14977,2013,77321,Austin, TX,2GNALFEK4D6284567,Chevrolet,EquinoxFWD,9,6,9,0,9,15766.554849897277
10,14869,2013,83438,White Bear Lake, MN,2GNFLGEK2D6229126,Chevrolet,EquinoxAWD,10,8,10,0,10,15318.158442051072
11,8495,2014,45935,Tujunga, CA,3N1CE2CP2EL418706,Nissan,Versa,11,9,11,2,11,18109.388997384278
12,5739,2005,74282,Langhorne, PA,2T1BR32E65C435952,Toyota,Corolla4dr,12,10,12,3,12,15919.493586991599
13,12595,2013,59132,Pelham, AL,5XXGM4A73DG198518,Kia,OptimaLX,13,11,13,5,13,17130.653665356214
14,24990,2012,70960,Chantilly, VA,4JGBF7BE8CA801343,Mercedes-Benz,GL-ClassGL450,14,12,14,6,14,16248.818320391485
15,16650,2014,67681,Savannah, TN,5N1AR2MN2EC658058,Nissan,PathfinderS,15,13,15,2,15,16516.94660366043
16,16699,2016,8176,Colorado Springs, CO,1N4AL3AP9GC244883,Nissan,Altima2.5,16,14,16,2,4,20938.315928384414
17,19995,2014,28023,Hopkinsville, KY,2C3CCABG5EH361140,Chrysler,300300S,17,15,17,7,16,19460.783692737183
18,36000,2015,32187,Brookfield, WI,JTJBARBZ3F2042310,Lexus,NX,18,16,18,8,17,19167.583878056706
19,10982,2014,20882,Leavenworth, KS,1FADP3K24EL131778,Ford,FocusHatchback,19,17,19,4,18,19997.861977701807
20,18400,2016,42413,Chantilly, VA,19XFC1F96GE008084,Honda,Civic,14,12,20,9,19,18421.907009834857
21,25791,2015,17102,Chandler, AZ,JF2SJAUC0FH504222,Subaru,Forester2.5i,20,18,21,10,20,20295.98171948006
22,29988,2014,23818,Folsom, CA,JN8AZ1MW6EW501479,Nissan,MuranoAWD,21,9,22,2,21,19791.156477495762
23,11999,2005,90788,Mooresville, NC,1GKEK63U25J169637,GMC,Yukon,22,7,23,11,22,14742.42231163577
24,27563,2017,28440,Tyler, TX,4T1BK1FK2HU579350,Toyota,CamryXSE,23,6,24,3,23,19489.25047656431
25,9499,2015,74232,New Port Richey, FL,KNAFK4A69F5391530,Kia,ForteLX,24,19,25,5,24,16083.70737123274
26,29995,2014,54026,Blackwood, NJ,WAUBGAFL9EA049952,Audi,S4quattro,25,20,26,12,25,17573.517504552423
27,48000,2015,56620,Linden, NJ,WBS3C9C54FJ276435,BMW,M3Sedan,26,20,27,13,26,17396.448147271436
28,17900,2012,47062,Weymouth, MA,2C3CCACG3CH272677,Chrysler,3004dr,27,21,28,7,27,18075.976100541393
29,23189,2012,84513,Southgate, MI,5LMJJ2J52CEL04051,Lincoln,Navigator4dr,28,22,29,14,28,15308.421525812648
30,15995,2010,103078,Somerville, MA,4JGCB6FE6AA109504,Mercedes-Benz,R-Class4MATIC,29,21,30,6,29,13916.527423618934
31,14588,2013,75064,Bastrop, TX,1FM5K7B88DGA54120,Ford,ExplorerBase,30,6,31,4,30,16025.016779838414
32,11900,2014,95775,Bluefield, WV,JN8AZ2KR3ET352940,Nissan,cubeS,31,23,32,2,31,14508.165360611541
33,34115,2017,22527,Overland Park, KS,1FM5K8F8XHGB83627,Ford,Explorer4WD,32,17,33,4,32,19966.094595972205
34,12895,2013,61615,Independence, MO,JN8AF5MR0DT222927,Nissan,JUKES,33,24,34,2,33,17034.737886265193
35,18781,2015,36499,Norwood, MA,5XYKTCA61FG617026,Kia,SorentoLX,34,21,35,5,34,18919.39278234226
36,15000,2017,13615,Tempe, AZ,3KPFL4A77HE047629,Kia,ForteLX,35,18,36,5,24,20630.322892950106
37,23776,2014,30827,Montgomeryville, PA,2C4RC1CG9ER453835,Chrysler,Town,36,10,37,7,35,19335.46653433805
38,46991,2015,45079,Timonium, MD,1GC1KWEG9FF507573,Chevrolet,Silverado,37,25,38,0,5,18272.802747600133
39,29995,2014,36600,Naugatuck, CT,WAUBGAFLXEA074195,Audi,S4quattro,38,26,39,12,25,18909.20495163863
40,24650,2015,19011,Colchester, CT,5TDKK3DCXFS686062,Toyota,"SiennaLE,",39,26,40,3,36,20233.156181732946
41,13710,2015,39075,San Antonio, TX,KNDJP3A55F7119061,Kia,SoulAutomatic,40,6,41,5,37,18750.528416016343
42,19995,2016,17517,Tulsa, OK,JM1GJ1V5XG1484124,Mazda,Mazda6Touring,41,0,42,15,38,20361.293127712448
43,17831,2017,38292,Roselle, IL,KNDPMCAC1H7064189,Kia,SportageAWD,42,2,43,5,39,18837.921391240376
44,15499,2014,60668,Wait Park, MN,1HGCT1B84EA012281,Honda,Accord,43,8,44,9,40,17154.578017181855
45,17991,2016,20809,Murrieta, CA,1VWAT7A30GC058760,Volkswagen,Passat4dr,44,9,45,16,41,20131.157964879534
46,9491,2009,96688,St. Augustine, FL,1J8GR48KX9C532586,Jeep,Grand,45,19,46,1,42,14443.907577837703
47,12971,2010,97490,Grand Rapids, MN,JTMDK4DV8A5097820,Toyota,RAV44WD,46,8,47,3,43,14398.582869790001
48,12100,2015,8335,Broken Arrow, OK,1N4AZ0CP2FC304141,Nissan,LEAFS,47,0,48,2,44,21054.97981382038
49,16995,2004,213775,Charlotte, NC,1GTHK23164F127660,GMC,Sierra,48,7,49,11,45,5735.57242805173
50,20815,2014,38641,Rockville, MD,2FMDK4JC5EBA64936,Ford,EdgeSEL,49,25,50,4,46,18811.72208389837
51,10991,2010,105636,San Antonio, TX,YV4982DL9A2059566,Volvo,XC60FWD,40,6,51,17,47,13800.598421283617
52,11988,2016,41774,Fallston, MD,1N4AL3AP8GN313020,Nissan,Altima2.5,50,25,52,2,4,18574.903715277356
53,21999,2014,40144,Orlando, FL,WBA5A5C58ED511086,BMW,5,51,19,53,13,48,18711.153322282345
54,1900,2000,242068,Sterling Heights, MI,1G2WP52K6YF170152,Pontiac,Grand,52,22,54,18,42,3614.162403692009
55,29995,2016,1309,Kahului, HI,1HGCR3F89GA032582,Honda,Accord,53,27,55,9,40,21608.569677701642
56,12454,2014,19035,Warner Robins, GA,KNDJN2A26E7739826,Kia,SoulAutomatic,54,1,56,5,37,20273.793236909474
57,35991,2015,17634,Columbus, GA,1N6BA0EC4FN500552,Nissan,TitanCrew,55,1,57,2,49,20400.545403064672
58,12795,2014,32442,Downers Grove, IL,3C4PDDAG5ET167695,Dodge,JourneySE,56,2,58,19,50,19299.050489906327
59,26995,2014,35457,Wilsonville, OR,JTHBK1GGXE2132320,Lexus,ES,57,28,59,8,51,19081.74221841002
60,32000,2015,16526,Doylestown, PA,1FTEX1EP7FKD52793,Ford,F-1504WD,58,10,60,4,52,20496.175633934356
61,3995,2008,121965,Indianapolis, IN,3N1AB61E08L719634,Nissan,Sentra4dr,59,29,61,2,53,12622.313633933532
62,8550,2011,103605,Perrysburg, OH,1C3BC2FB5BN531077,Chrysler,2004dr,60,4,62,7,54,14015.702686106475
63,18876,2014,31574,Atlanta, GA,2T3YFREV8EW094030,Toyota,RAV44X2,61,1,63,3,55,19383.457700479634
64,9375,2014,79000,Mount Juliet, TN,1G1PC5SB4E7367895,Chevrolet,Cruze1LT,62,13,64,0,56,15877.892536590389
65,36659,2015,64305,Mobile, AL,3C63R3DL2FG648167,Ram,"3500SLT,",63,11,65,20,57,16981.562328079424
66,11999,2008,155000,Newnan, GA,5TBRT54198S459883,Toyota,Tundra,64,1,66,3,58,10195.695699060769
67,20995,2015,33313,Cincinnati, OH,5NPE34AF4FH065694,Hyundai,SonataLimited,65,4,67,21,59,19283.638551253847
68,18793,2017,11532,Chicago, IL,1C4PJLAB9HW577390,Jeep,CherokeeSport,66,2,68,1,60,20920.168909266325
